Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Cullen,Burnley,Burnley,"LDMF, RDMF, LCMF",26,7000000,2025-06-30,28,2714,1,1.9,2,1.73,14.33,52.31,England,"England, Republic of Ireland",right,175,70,no,8.16,5.54,61.08,2.62,46.84,0.83,1.46,0.36,3.95,6.96,0.83,6,0.2,0,0,1.26,0.03,1,0.03,0.06,0,0,15,0.5,33.33,6.667,0.07,0.76,26.09,0.27,37.5,0.5,20,0,0.73,68.18,3.61,52.29,0.66,1.62,0.33,48.28,0.66,1.53,61.55,89.01,16.02,74.33,10.64,97.2,26.26,93.56,56.51,93.13,4.31,46.15,18.71,33.36,0.06,0.6,0.03,0,0.99,40,0.4,8.49,73.83,2.02,45.9,1.26,36.84,0.86,0.2,7.3,75,0,,0,,0,0,0,0,,,0.9,,,0,0,0,0.03,0,0
A. Diallo,Sunderland,Sunderland,"AMF, RAMF, CF",20,7000000,2025-06-30,24,1687,7,4.99,2,1.89,20.59,46.11,Côte d'Ivoire,"Côte d'Ivoire, Italy",left,173,72,yes,5.12,4.05,75,1.76,33.33,0.11,0.17,0.05,1.97,3.08,0.16,1,0.05,0,0,4.16,0.37,6,0.32,0.27,0,0,37,1.97,45.95,18.919,0.11,0.48,33.33,0,0,0.48,33.33,0,6.19,42.24,12.54,37.87,3.25,2.77,1.39,29.34,1.07,1.55,40.12,88.03,9.66,83.43,11.47,92.56,9.07,90,38.04,90.18,1.65,54.84,15.24,26.33,0.1,0.59,0.11,0,0.69,69.23,0.48,4,82.67,1.76,75.76,0.53,40,1.81,0.16,3.73,84.29,0,,0,,0,0,0,0,,,0.11,,,0.11,0.05,100,0.27,1,100
C. Willock,Queens Park Rangers,Queens Park Rangers,"LWF, LAMF, RWF",25,6000000,2023-06-30,23,1533,6,2.64,1,1.96,30.41,37.64,England,"England, Montserrat",right,178,67,no,3.29,3.23,52.73,1.94,9.09,0.06,0.08,0.06,1.53,2.15,0.88,0,0,0,0,6.69,0.35,6,0.35,0.16,0,0,42,2.47,28.57,14.286,0.06,3.35,29.82,2.58,31.82,0.76,23.08,0.76,8.04,58.39,21.14,39.72,3.35,2.88,0.82,21.19,0.88,1.41,33.29,79.01,6.69,69.3,8.1,92.03,10.22,74.14,28.59,86.45,1.47,44,15.51,22.47,0.11,1.06,0.23,0.06,0.82,35.71,0.41,2.99,64.71,3.17,50,1,23.53,0.94,0.88,3.35,85.96,0,,0,,0,0,0,0,,,0.06,,,0.12,0.06,100,0.12,0,0
K. Grant,West Bromwich Albion,West Bromwich Albion,CF,25,6000000,2026-06-30,22,1338,3,7.12,0,0.32,17.22,32.03,England,England,right,183,70,no,1.61,1.61,45.83,5.99,20.22,0,0,0.07,0.87,1.46,0.54,0,0,0,0,2.42,0.2,2,0.13,0.48,0,0,27,1.82,40.74,11.111,0,1.21,11.11,0.61,22.22,0.61,0,0.07,2.29,67.65,6.52,43.3,4.04,1.35,0.27,13.92,1.55,1.28,18.23,75.28,3.9,55.17,6.32,93.62,3.43,66.67,16.61,80.57,0.47,42.86,15.37,11.81,0.02,0.2,0,0,0.34,0,0.07,1.01,40,0.87,46.15,0.2,0,0.61,0.2,1.01,66.67,0,,0,,0,0,0,0,,,0.54,,,0,0,0,0.07,2,50
G. Diangana,West Bromwich Albion,West Bromwich Albion,"LAMF, LW",24,6000000,2025-06-30,28,1976,4,5.54,2,3.78,27.42,41.69,England,"England, Congo DR",left,180,73,no,7.15,6.29,55.07,3.1,23.53,0.32,0.48,0.05,3.37,5.13,1,3,0.14,0,0,4.65,0.18,4,0.18,0.25,0,0,40,1.82,25,10,0.09,2.19,29.17,1.69,27.03,0.5,36.36,0.32,6.38,52.14,14.3,41.72,3.73,2.55,0.96,25.1,1.18,2.28,35.34,80.41,10.11,71.62,7.97,92.57,8.34,79.23,32.2,84.87,1.05,43.48,15.15,20.38,0.17,1.59,0.09,0.05,0.87,26.32,0.73,3.6,73.42,3.14,56.52,0.87,26.32,1.73,0.59,4.96,89.91,0,,0,,0,0,0,0,,,0,,,0.14,0,0,1,0,0
J. Piroe,Swansea City,Swansea City,"CF, AMF, RWF",23,6000000,2024-06-30,27,2561,11,14.74,1,1.16,15.15,30.63,Netherlands,"Netherlands, Suriname",left,185,81,no,2.64,2.64,50.67,2.67,18.42,0.04,0.06,0,1.27,2.2,0.74,4,0.14,1,0.04,2.92,0.39,9,0.32,0.52,0,0,84,2.95,44.05,13.095,0.04,0.77,27.27,0.28,25,0.49,28.57,0.11,2.21,55.56,6.5,31.89,3.83,0.91,0.35,17.61,1.05,0.32,21.09,83.67,4.01,70.18,6.57,94.12,6.04,83.14,19.89,86.57,0.42,50,15.41,15.22,0.04,0.32,0.04,0,0.42,41.67,0.21,1.62,73.91,1.41,55,0.32,33.33,1.02,0.21,2.21,79.37,0,,0,,0,0,0,0,,,0.07,,,0.07,0.07,100,0,3,66.667
H. Souttar,Leicester City,Stoke City,"RCB, CB",24,6000000,2028-06-30,7,692,0,0.16,0,0,17.56,64.44,Scotland,"Scotland, Australia",right,198,79,no,11.05,6.5,70,5.59,69.77,0.13,0.18,0.39,6.37,8.8,1.82,4,0.52,0,0,0.52,0,0,0,0.02,0,0,1,0.13,0,0,0,0.13,0,0,0,0.13,0,0,0.39,100,1.82,42.86,0.26,0.52,0.26,20.29,0.78,0.52,37.46,77.08,20.42,63.06,2.47,89.47,11.71,93.33,27.31,83.81,10.14,58.97,25.83,42.61,0,0,0,0,0.26,50,0,8.71,56.72,1.82,35.71,1.56,25,0.65,0,10.79,75.9,0,,0,,0,0,0,0,,,1.69,,,0,0,0,0,0,0
F. Woodman,Preston North End,Preston North End,GK,25,6000000,2025-06-30,30,2933,0,0,0,0,0.58,84.21,England,England,right,188,83,no,1.6,0.06,50,0.4,100,0,0,0,1.56,2.04,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,50,0,0,0,10.22,0.21,0.09,17,83.03,11.29,75.54,0,0,5.12,98.2,8.44,99.27,8.5,67.51,36.76,50.91,0,0,0,0,0,0,0,2.98,63.92,0.06,50,0.06,50,0.03,0,6.23,82.27,36,1.1,118,3.62,12,69.49,31.29,0.96,-4.71,-0.145,0,1.47,0.4,,,,0,0,0
B. Wilmot,Stoke City,Stoke City,"RCB, LCB",23,6000000,2025-06-30,28,2674,3,2.27,0,0.68,17.84,56.98,England,"England, Republic of Ireland",right,188,80,no,11.01,6.66,68.18,5.32,47.47,0.37,0.51,0.47,6.09,8.46,0.44,3,0.1,0,0,1.21,0.1,3,0.1,0.08,1,0.03,16,0.54,25,18.75,0,1.11,30.3,0,0,1.11,30.3,0.13,1.04,48.39,1.95,55.17,1.01,1.68,0.4,26.86,1.04,0.54,45.03,78.85,19.55,67.13,4.51,96.27,17.2,88.06,35.07,86.47,8.89,54.92,23.89,40.71,0.02,0.3,0,0,0.34,70,0.1,8.72,65.25,1.65,44.9,0.88,42.31,0.4,0.37,11.21,75.98,0,,0,,0,0,0,0,,,2.36,,,0,0,0,0,0,0
H. Kamara,Watford,Watford,"LB, RWB",28,6000000,2026-06-30,26,2375,0,0.84,3,2.64,18.76,54.55,France,"France, Côte d'Ivoire",left,168,67,yes,11.29,7.5,65.66,2.24,47.46,0.99,1.46,0.11,5.38,7.95,1.02,8,0.3,2,0.08,3.87,0,0,0,0.03,0,0,12,0.45,33.33,0,0.11,3.56,37.23,2.88,36.84,0.68,38.89,0.68,3.87,57.84,6.37,48.81,1.1,2.96,1.1,30.58,1.44,0.87,43.09,77.92,17.05,70.89,6.25,92.12,12.77,81.31,35.13,86.08,4.55,45,18.75,34.09,0.1,0.68,0,0,0.53,28.57,0.45,5.49,68.28,3.33,42.05,0.95,28,0.45,1.17,10.08,74.44,0,,0,,0,0,0,0,,,0.34,,,0.08,0,0,0,0,0
C. Roberts,Burnley,Burnley,RB,27,6000000,2025-06-30,28,2376,2,1.16,2,1.39,12.12,50.63,Wales,Wales,right,175,76,no,6.97,4.43,54.7,2.23,47.46,0.3,0.56,0.23,4.24,7.78,0.8,4,0.15,1,0.04,1.02,0.08,2,0.08,0.04,0,0,10,0.38,40,20,0.08,1.67,25,0.08,0,1.52,25,0.11,0.68,50,2.08,45.45,1.02,1.52,0.34,48.41,1.82,0.91,58.52,88.74,18.33,79.75,9.09,98.33,22.88,93.38,53.6,93.57,3.26,41.86,18.61,32.4,0.05,0.68,0.08,0.04,0.19,60,0.34,6.7,78.53,2.39,50.79,0.42,36.36,0.8,0.49,8.48,73.66,0,,0,,0,0,0,0,,,1.25,,,0,0,0,0.04,0,0
M. Núñez,Norwich City,Norwich City,"RCMF, RDMF, LCMF",22,6000000,2026-06-30,26,1688,1,1.92,1,1.84,20.31,45.93,Chile,Chile,right,173,73,no,9.12,8.21,56.49,2.45,39.13,0.53,0.87,0.32,3.95,6.43,1.44,1,0.05,0,0,2.29,0.05,1,0.05,0.1,0,0,46,2.45,19.57,2.174,0.05,1.07,20,0.53,10,0.53,30,0.16,2.51,53.19,6.88,35.66,1.12,0.85,0.59,34.12,0.48,0.8,45.96,79.7,13.92,63.6,6.56,91.06,17.97,86.65,37.8,85.33,7.09,58.65,21.18,41.65,0.1,1.01,0,0.05,0.75,35.71,0.21,8.32,67.95,3.25,50.82,1.6,23.33,1.44,0.27,8.16,75.16,0,,0,,0,0,0,0,,,0.32,,,1.33,0.48,33.33,1.97,0,0
O. Estupiñán,Hull City,Hull City,CF,26,6000000,2025-06-30,29,2361,12,11.8,0,0.66,23.71,28.62,Colombia,Colombia,left,182,76,no,2.78,3.43,44.44,8.73,27.95,0,0,0.08,1.26,1.72,1.3,2,0.08,1,0.04,1.41,0.46,12,0.46,0.45,3,0.11,54,2.06,42.59,22.222,0,0.15,0,0.11,0,0.04,0,0.04,1.22,34.38,6.21,22.09,2.67,0.5,0.11,6.37,0.99,0.65,10.37,72.79,2.21,58.62,3.28,86.05,2.33,72.13,9.76,75,0.46,50,14.78,10.65,0.03,0.11,0.08,0,0.3,37.5,0.08,1.14,46.67,0.34,44.44,0.42,45.45,0.19,0,1.07,57.14,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
Gabriel Sara,Norwich City,Norwich City,"LCMF, AMF, RCMF",23,6000000,2026-06-30,25,1620,3,3.42,2,3.37,16.11,40,Brazil,Brazil,left,177,73,no,5.94,5.17,59.14,1.83,33.33,0.06,0.09,0.06,2.83,4.37,0.72,2,0.11,0,0,2.5,0.17,3,0.17,0.19,0,0,32,1.78,31.25,9.375,0.11,1.67,33.33,1.22,27.27,0.44,50,0.22,2.78,44,7.39,26.32,2.06,1.22,0.61,29.39,0.78,0.67,42.89,79.4,13.44,63.64,7.89,95.07,14.83,86.14,36.94,84.36,4.33,53.85,17.39,30.93,0.19,1.56,0.17,0,0.78,21.43,0.22,6.44,72.41,3,57.41,0.94,23.53,1.44,0.5,7.56,69.85,0,,0,,0,0,0,0,,,0.67,,,1.28,0.17,0,4.44,0,0
H. Mejbri,Birmingham City,Birmingham City,"RCMF, LCMF, AMF",20,6000000,2026-06-30,25,1539,1,0.55,3,3.44,24.5,39.86,France,"France, Tunisia",right,177,70,yes,7.37,7.31,51.2,1.99,23.53,0.53,0.71,0,3.1,4.18,2.46,8,0.47,0,0,2.34,0.06,1,0.06,0.03,0,0,9,0.53,22.22,11.111,0.18,1.52,34.62,0.53,33.33,0.99,35.29,0.41,3.04,50,10.76,37.5,0.99,1.58,0.58,16.67,0.58,2.16,26.84,73.42,7.43,55.12,5.38,89.13,8.19,78.57,23.51,78.11,1.81,45.16,17.92,27.97,0.2,1.29,0,0,0.94,18.75,0.47,3.45,62.71,2.4,36.59,1.05,16.67,0.7,0.53,4.68,63.75,0,,0,,0,0,0,0,,,0.53,,,1.35,0.18,66.67,2.28,0,0
R. Giles,Middlesbrough,Middlesbrough,"LB, LWB, LW",23,6000000,2025-06-30,31,2843,0,1.06,9,9.93,10.6,50.15,England,England,left,179,72,yes,6.05,4.72,57.72,0.76,37.5,0.03,0.05,0.06,3.29,4.91,0.35,2,0.06,0,0,4.24,0,0,0,0.03,0,0,13,0.41,38.46,0,0.28,7.12,35.56,6.68,35.55,0.44,35.71,0.85,2.25,66.2,3.64,50.43,1.27,1.39,0.7,30.42,1.46,0.32,38.87,73.29,10.04,58.99,8.86,95.36,13.71,73.9,28.4,86.85,3.8,39.17,22.13,39.75,0.31,1.77,0.09,0.06,0.19,33.33,1.14,3.1,54.08,5.13,43.83,0.41,15.38,0.28,2.47,8.74,70.29,0,,0,,0,0,0,0,,,0.41,,,0.44,0.06,50,3.55,0,0
E. Kayembe,Watford,Watford,"LDMF, DMF, LCMF",24,5000000,2026-06-30,21,1939,0,0.66,0,0.33,17.96,51.42,Congo DR,Congo DR,left,183,77,no,8.08,7.1,65.36,1.81,33.33,0.14,0.22,0.14,3.3,5.12,1.16,2,0.09,0,0,1.86,0,0,0,0.03,0,0,19,0.88,10.53,0,0,0.84,33.33,0.51,27.27,0.32,42.86,0.09,2.27,61.22,5.99,44.19,0.32,0.97,0.42,29.01,0.28,0.51,45.12,85.7,12.21,73.38,6.22,94.03,20.24,92.43,40.1,89.58,4.27,57.61,19.49,38.01,0.02,0.19,0.05,0.05,0.28,33.33,0.09,7.24,75,1.49,46.88,1.02,27.27,0.42,0.28,7.15,71.43,0,,0,,0,0,0,0,,,0.28,,,0.14,0.05,0,0,0,0
R. Brewster,Sheffield United,Sheffield United,CF,22,5000000,2025-06-30,16,660,1,2.41,1,0.73,19.36,30.99,England,"England, Barbados",right,180,75,no,4.09,3.14,69.57,5.86,27.91,0.55,0.86,0,1.36,2.14,0.41,1,0.14,0,0,1.91,0.14,1,0.14,0.33,0,0,18,2.45,33.33,5.556,0.14,0.82,33.33,0.27,50,0.41,0,0,1.77,46.15,6.14,22.22,3.27,0.82,0.14,10.09,2.18,1.09,12.82,69.15,3.14,56.52,2.73,80,3.55,61.54,11.45,72.62,0.55,50,13.79,7.4,0.1,0.82,0,0,0.14,0,0.14,1.5,63.64,0.55,50,0.14,0,0.27,0.27,1.64,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
I. Hayden,Norwich City,Norwich City,"DMF, LDMF, RDMF",27,5000000,2026-06-30,12,777,0,0.83,0,0,17.61,52.63,England,"England, Jamaica",right,187,79,yes,10.19,6.37,56.36,4.63,55,1.39,1.82,0.23,5.21,6.82,1.62,5,0.58,0,0,0.81,0,0,0,0.1,0,0,8,0.93,37.5,0,0,0.12,0,0.12,0,0,0,0,0.81,57.14,3.24,50,0.58,0.12,0.23,22.82,0.23,0.69,38.11,85.71,10.08,67.82,7.18,96.77,14.48,92.8,34.75,89.67,3.24,46.43,16.06,27.11,0,0,0,0,0,0,0,4.17,66.67,0.12,0,0.35,33.33,0.12,0,3.82,42.42,0,,0,,0,0,0,0,,,0.46,,,0,0,0,0,0,0
Rodrigo Muniz,Middlesbrough,Middlesbrough,CF,21,5000000,2026-06-30,16,957,2,3.17,0,0.45,31.79,37.87,Brazil,Brazil,right,185,67,yes,4.04,3.95,57.14,12.23,37.69,0.28,0.43,0,1.5,2.3,1.41,2,0.19,0,0,1.69,0.19,2,0.19,0.3,2,0.19,23,2.16,26.09,8.696,0,0.19,0,0.09,0,0.09,0,0,1.88,55,9.5,36.63,2.73,0.19,0.19,3.95,1.13,2.54,6.21,62.12,1.79,47.37,1.6,70.59,1.69,66.67,5.83,64.52,0.19,50,13.26,5.74,0.04,0.28,0,0,0.38,25,0.19,0.56,66.67,0.66,42.86,0.38,25,0.47,0,1.03,54.55,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Wallace,West Bromwich Albion,West Bromwich Albion,"RAMF, RW",28,5000000,2026-06-30,30,2707,4,5.17,6,6.22,19.75,42.42,England,England,right,178,70,no,5.05,4.85,56.85,2.23,23.88,0.5,0.74,0.07,1.8,2.65,0.66,3,0.1,0,0,5.92,0.13,4,0.13,0.17,0,0,57,1.9,42.11,7.018,0.2,6.85,29.61,0.47,21.43,6.35,30.37,0.86,5.42,55.83,9.81,43.05,2.56,2.23,1.63,24.2,1.56,0.83,33.41,69.95,7.95,67.78,7.55,91.19,12.27,65.04,24.37,83.49,2.59,42.31,21.2,35.56,0.21,1.26,0,0,0.27,25,0.96,3.32,64,5.12,44.16,0.4,16.67,0.73,2.03,6.05,76.92,0,,0,,0,0,0,0,,,0.23,,,0.3,0.07,50,1.46,0,0
T. Dolan,Blackburn Rovers,Blackburn Rovers,"CF, RW, RAMF",21,5000000,2024-06-30,24,1126,3,2.14,4,1.57,22.62,38.16,England,England,right,170,55,no,6.07,6.55,57.32,2.4,13.33,0,0,0,2.32,3.37,1.12,1,0.08,0,0,3.04,0.24,3,0.24,0.17,0,0,19,1.52,31.58,15.789,0.32,1.12,28.57,0.4,0,0.72,44.44,0.08,4.4,45.45,10.87,35.29,2.72,1.68,0.72,18.14,1.12,1.44,27.18,83.24,4.96,67.74,8.07,94.06,6.15,79.22,25.26,87.66,0.8,20,13.71,13.6,0.13,0.96,0,0,0.4,60,0.64,1.6,70,1.28,62.5,0.4,20,0.72,0.32,3.04,63.16,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,0,0
T. Morton,Blackburn Rovers,Blackburn Rovers,"LCMF, RDMF, RCMF",20,5000000,2023-05-31,29,2300,0,0.65,2,3.31,15.1,50.52,England,England,right,178,69,yes,8.1,6.81,60.92,1.17,50,0.86,1.17,0.12,3.09,4.19,0.94,5,0.2,0,0,1.72,0,0,0,0.03,0,0,14,0.55,28.57,0,0.08,0.78,65,0.39,80,0.39,50,0.2,1.84,48.94,4.89,40.8,0.51,0.63,0.2,36.16,0.31,0.78,49.85,83.2,13.85,62.15,10.68,95.24,18.08,91.56,42.3,89.27,6.77,47.4,19.69,36.14,0.13,1.13,0.08,0,0.39,40,0.31,7.87,59.2,2.5,43.75,1.45,35.14,0.67,0.51,7.83,68.5,0,,0,,0,0,0,0,,,0.86,,,1.25,0.04,0,1.76,0,0
S. Thomas,Blackburn Rovers,Blackburn Rovers,"RW, RWB, LW",24,5000000,2026-06-30,25,2135,0,1.41,5,4.95,19.48,40.26,England,"England, Wales",right,185,75,yes,4.34,4.43,50.48,1.81,16.28,0.17,0.2,0.08,1.94,2.35,1.05,8,0.34,0,0,4.64,0,0,0,0.06,0,0,17,0.72,23.53,0,0.21,5.48,33.08,1.69,32.5,3.79,33.33,0.8,4.97,50.85,9.74,44.16,1.39,1.6,0.89,16.31,2.49,1.64,22.85,61.62,5.86,55.4,4,89.47,9.15,55.76,14.8,73.5,3.08,53.42,21.85,36.5,0.21,1.64,0.04,0.13,0.59,21.43,0.34,2.74,58.46,5.35,40.16,0.97,17.39,0.51,1.64,5.61,79.7,0,,0,,0,0,0,0,,,0,,,2.32,0.08,0,4.05,0,0
J. McAtee,Sheffield United,Sheffield United,"LCMF, RCMF, AMF",20,5000000,2026-06-30,23,1165,3,2.18,2,2.07,19.24,50.6,England,England,left,180,70,yes,6.49,6.41,59.04,2.47,31.25,0.62,0.98,0.08,2.09,3.31,1.08,5,0.39,0,0,4.17,0.23,3,0.23,0.17,0,0,20,1.55,30,15,0.15,2.24,34.48,1.85,33.33,0.39,40,0.39,4.02,67.31,7.8,55.45,2.63,2.78,1.16,18,0.7,1.16,29.74,79.74,9.04,68.38,6.64,97.67,7.34,75.79,25.49,86.36,2.09,48.15,16.49,20.06,0.16,1.39,0.08,0.08,0.7,33.33,0.77,3.94,70.59,3.24,40.48,0.54,28.57,1.08,0.7,4.02,78.85,0,,0,,0,0,0,0,,,0.23,,,0.23,0,0,0.62,0,0
O. McBurnie,Sheffield United,Sheffield United,CF,26,5000000,2023-06-30,22,1301,10,9.09,1,0.95,35.9,37.38,England,"England, Scotland",right,188,79,no,4.29,3.32,47.92,15.63,46.46,0.28,0.42,0,2.42,3.7,1.31,6,0.42,0,0,3.32,0.69,10,0.69,0.63,2,0.14,55,3.8,56.36,18.182,0.07,0.69,20,0.14,0,0.35,0,0,2.01,48.28,9.34,27.41,6.23,0.35,0,13.35,2.08,1.18,18.68,70.74,5.67,54.88,3.74,88.89,4.29,74.19,17.71,73.05,0.28,50,15.91,5.24,0.07,0.48,0.07,0,0.21,33.33,0.21,2.84,43.9,1.11,50,0.28,50,0.69,0.14,1.73,64,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Brown,Stoke City,Stoke City,"CF, RWB",24,5000000,2025-06-30,25,1808,4,6.16,0,0.71,33.7,36.93,England,"England, Scotland",right,178,72,no,7.17,6.17,54.84,11.2,34.22,0.45,0.64,0.05,3.34,4.73,1.24,6,0.3,0,0,3.24,0.2,4,0.2,0.31,0,0,40,1.99,42.5,10,0,2.09,19.05,0.8,18.75,1.29,19.23,0.3,3.83,50.65,11.55,35.34,3.63,1.1,0.3,10.9,1.59,1.34,17.47,66.38,4.18,44.05,4.38,84.09,5.53,69.37,14.63,73.81,0.85,58.82,18.78,11.52,0.04,0.4,0.05,0,0.2,25,0.25,1.44,41.38,1.34,33.33,0.2,50,0.5,0.45,2.19,59.09,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
H. Choudhury,Watford,Watford,"RDMF, LDMF, RCMF",25,5000000,2023-06-30,25,2230,0,0.49,0,0.31,14,55.91,England,"England, Bangladesh",right,178,64,yes,9.97,6.82,64.5,1.94,54.17,0.81,1.26,0.32,4.76,7.42,0.81,8,0.32,0,0,0.4,0,0,0,0.02,0,0,9,0.36,22.22,0,0,0.65,25,0.04,0,0.48,25,0.04,0.65,18.75,2.54,36.51,0.28,0.48,0.16,25.55,0.2,0.65,39.31,86.04,12.31,76.39,6.38,94.3,15.34,90.53,35.92,89.78,2.87,50.7,18.07,35.34,0.01,0.16,0,0,0.08,50,0.12,4.88,74.38,1.13,42.86,0.36,33.33,0.32,0.08,5.21,66.67,0,,0,,0,0,0,0,,,0.69,,,0.04,0,0,0.04,0,0
E. Laird,Queens Park Rangers,Queens Park Rangers,RB,21,5000000,2023-06-30,26,2322,1,1.3,2,1.51,23.37,55.22,England,"England, Jamaica",right,177,70,yes,8.22,6.05,67.95,4.46,51.3,0.31,0.45,0.19,3.8,5.52,0.66,1,0.04,0,0,4.22,0.04,1,0.04,0.05,0,0,21,0.81,38.1,4.762,0.08,2.95,21.05,0,0,2.87,20.27,0.31,5.62,56.55,10.43,50.93,1.82,3.33,1.16,22.36,1.71,1.9,33.76,74.63,12.44,66.67,6.09,94.9,7.33,74.6,29.03,82.24,1.9,38.78,17.69,34.36,0.06,0.54,0,0.04,0.39,30,0.23,3.06,56.96,2.52,32.31,0.39,20,0.58,0.58,5.31,62.04,0,,0,,0,0,0,0,,,0.43,,,0.04,0,0,0,0,0
C. Robinson,Cardiff City,Cardiff City,"CF, AMF",28,5000000,2025-06-30,25,1694,5,7.08,6,2.26,20.03,30.77,England,"England, Republic of Ireland",right,178,75,no,2.98,1.97,64.86,2.07,10.26,0,0,0.11,1.7,2.3,0.32,2,0.11,1,0.05,4.14,0.27,5,0.27,0.38,1,0.05,53,2.82,30.19,9.434,0.32,1.91,38.89,1.17,36.36,0.69,38.46,0.37,4.25,51.25,11.26,32.55,2.92,1.49,0.27,13.87,0.8,0.43,21.15,74.87,4.36,62.2,4.57,87.21,7.38,73.38,17.64,79.82,1.75,60.61,15.55,22.9,0.12,0.96,0.05,0.05,0.96,38.89,0.58,2.76,69.23,2.34,47.73,1.17,40.91,0.69,0.69,3.35,82.54,0,,0,,0,0,0,0,,,0,,,0.16,0.16,0,0.11,2,0
A. Mowatt,Middlesbrough,Middlesbrough,"LCMF, LDMF",28,5000000,2024-06-30,19,846,0,0.33,0,0.7,11.81,58.56,England,"England, Scotland",left,177,71,yes,5.74,4.68,65.91,2.66,60,0.21,0.32,0.21,2.45,3.71,0.43,1,0.11,0,0,0.96,0,0,0,0.03,0,0,9,0.96,11.11,0,0,0.96,55.56,0.96,55.56,0,0,0.11,0.21,50,2.34,50,0.32,0.53,0.21,29.68,0.21,0.85,40.43,87.63,12.02,75.22,8.51,98.75,13.72,89.15,35.53,92.22,3.94,54.05,15.61,24.57,0.07,0.85,0,0.11,0.74,28.57,0.32,7.13,73.13,2.98,64.29,1.17,45.45,1.38,0.53,6.17,87.93,0,,0,,0,0,0,0,,,0.74,,,0.53,0.11,0,0.21,0,0
D. Fry,Middlesbrough,Middlesbrough,"RCB, CB",25,5000000,2024-06-30,26,2168,0,1.48,0,0.14,15.48,67.83,England,England,right,191,72,no,8.43,4.36,72.38,6.23,68,0.08,0.12,0.33,5.19,7.73,0.42,1,0.04,1,0.04,0.17,0,0,0,0.06,0,0,9,0.37,22.22,0,0,0.12,33.33,0.04,0,0.08,50,0,0.12,33.33,0.71,52.94,0.58,0.29,0.04,34.08,0.25,0.58,50.02,85.73,18.56,70.69,3.78,94.51,22.25,95.52,43.96,91.31,5.94,45.45,20.28,36.15,0.01,0.08,0,0,0,0,0.04,5.4,53.08,0.37,11.11,0.46,27.27,0.12,0,7.76,63.1,0,,0,,0,0,0,0,,,2.91,,,0.04,0,0,0,0,0
C. Cresswell,Millwall,Millwall,RCB,20,5000000,2025-06-30,19,1587,4,2.16,1,1.22,23.71,57.66,England,England,right,190,75,yes,9.81,7.26,68.75,9.13,56.52,0.62,0.8,0.34,4.2,5.4,1.13,3,0.17,0,0,1.02,0.23,4,0.23,0.12,3,0.17,16,0.91,56.25,25,0.06,0.51,55.56,0.11,100,0.4,42.86,0.06,0.57,40,1.98,48.57,1.64,0.68,0,25.29,0.28,0.51,40.15,82.77,17.3,70.16,3.23,96.49,15.6,93.09,32.55,89.2,7.09,55.2,22.46,41.34,0.07,0.28,0,0,0.06,0,0.11,7.2,65.35,1.08,31.58,0.51,33.33,0.28,0.28,9.13,74.53,0,,0,,0,0,0,0,,,1.93,,,0,0,0,0,0,0
